organ,code,busdate,outofstockrate,turnoverdays,new_storage
1016,6920907808537,2022-06-08,0.03571428571428571,19.553072625698324,13.932753416379445
1016,6920907808537,2022-06-09,0.03571428571428571,16.745159602302458,11.783240071183663
1016,6920907808537,2022-06-10,0.03571428571428571,18.02325581395349,8.440081323759234
1016,6920907808537,2022-06-11,0.03571428571428571,15.15151515151515,7.361383264610068
1016,6920907808537,2022-06-12,0.03571428571428571,10.633379565418402,7.111306138610168
1016,6920907808537,2022-06-13,0.03571428571428571,17.56819232547388,12.083349470685885
1016,6920907808537,2022-06-14,0.03571428571428571,16.643550624133148,12.75901231547906
1016,6920907808537,2022-06-15,0.03571428571428571,18.489984591679505,13.964079777739387
1016,6920907808537,2022-06-16,0.03571428571428571,16.90573770491803,11.878534493671173
1016,6920907808537,2022-06-17,0.03571428571428571,17.643710870802504,8.571348774233739
1016,6920907808537,2022-06-18,0.03571428571428571,13.822434875066454,7.281355526615426
1016,6920907808575,2022-04-10,0.0,20.497803806734993,3.5881008175978284
1016,6920907808575,2022-04-11,0.0,18.194541637508745,2.8141349144936134
1016,6920907808575,2022-04-12,0.0,20.21772939346812,3.5725000000000002
1016,6920907808575,2022-04-13,0.0,22.47191011235955,3.215
1016,6920907808575,2022-04-14,0.0,24.975984630163307,2.8925
1016,6920907808575,2022-04-15,0.0,24.108003857280618,2.6025
1016,6920907808575,2022-04-16,0.0,15.753938484621155,2.5925
1016,6920907808575,2022-04-17,0.0,15.384615384615383,3.3325
1016,6920907808575,2022-04-18,0.0,17.094017094017094,3.25
1016,6920907808575,2022-04-19,0.0,18.99335232668566,2.925
1016,6920907808575,2022-04-20,0.0,21.09704641350211,2.6325
1016,6920907808575,2022-04-21,0.0,23.446658851113718,2.37
1016,6920907808575,2022-04-22,0.0,18.59504132231405,2.1325
1016,6920907808575,2022-04-23,0.0,14.939309056956116,2.42
1016,6920907808575,2022-04-24,0.0,16.597510373443985,2.6774999999999998
1016,6920907808575,2022-04-25,0.0,15.495867768595042,2.41
1016,6920907808575,2022-04-26,0.0,17.22158438576349,2.42
1016,6920907808575,2022-05-02,0.0,21.67766258246937,2.3925
1016,6920907808575,2022-05-03,0.0,20.85308056872038,2.6525
1016,6920907808575,2022-05-04,0.0,17.39130434782609,2.6525
1016,6920907808575,2022-05-05,0.0,18.29268292682927,2.875
1016,6920907808575,2022-05-06,0.0,20.31602708803612,3.0875000000000004
1016,6920907808575,2022-05-07,0.0,16.0481444332999,1.765
1016,6920907808575,2022-05-08,0.0,15.045135406218655,2.0875
1016,6920907808575,2022-05-21,0.0,20.813623462630087,2.38
1016,6920907808575,2022-05-22,0.0,19.980970504281636,2.6425
1016,6920907808575,2022-05-23,0.0,22.198731501057082,2.6275
1016,6920907808575,2022-05-24,0.0,19.98262380538662,2.3649999999999998
1016,6920907808575,2022-05-25,0.0,22.2007722007722,2.8775
1016,6920907808575,2022-05-26,0.0,24.67811158798283,2.59
1016,6920907808575,2022-05-27,0.0,23.42917997870075,2.33
1016,6920907808575,2022-05-28,0.0,22.222222222222225,2.3474999999999997
1016,6920907808575,2022-05-31,0.03571428571428571,23.711340206185568,2.1375
1016,6920907808575,2022-06-01,0.03571428571428571,21.58273381294964,2.425
1016,6920907808575,2022-06-02,0.03571428571428571,11.627906976744187,2.4325
1016,6920907808575,2022-06-03,0.03571428571428571,11.210762331838565,3.4399999999999995
1016,6920907808575,2022-06-04,0.03571428571428571,11.627906976744187,3.345
1016,6920907808575,2022-06-05,0.03571428571428571,12.915129151291511,3.01
1016,6920907808575,2022-06-06,0.03571428571428571,13.844515441959532,2.71
1016,6920907808575,2022-06-17,0.03571428571428571,24.0,2.22
1016,6920907808575,2022-06-18,0.03571428571428571,21.396396396396398,1.9975
1016,6920907808612,2022-05-08,0.03571428571428571,9.656652360515022,1.83
1016,6920907808612,2022-05-20,0.0,22.831050228310502,2.155
1016,6920907808612,2022-05-21,0.0,18.21862348178138,2.19
1016,6920907808612,2022-05-22,0.0,14.692378328741965,2.4699999999999998
1016,6920907808612,2022-05-23,0.0,13.888888888888888,2.7225
1016,6920907808612,2022-06-01,0.03571428571428571,24.34928631402183,3.03
